,Unnamed: 0,Open,High,Low,Close,Volume,TradingDate,H-L,O-C,AR,ME_7,ME_14,ME_21,ME_28,RANK_7,RANK_14,RANK_21,RANK_28,VAR_7,VAR_14,VAR_21,VAR_28,SMA_7,SMA_14,SMA_21,SMA_28,SD_7,SD_14,SD_21,SD_28,Ske_7,Ske_14,Ske_21,Ske_28,Kur_7,Kur_14,Kur_21,Kur_28
27,27,4542.0,4524.0,4280.0,4500.0,26100,2008-12-25,244.0,42.0,5.809523809523809,4280.0,3902.0,3779.0,3932.0,7.0,14.0,21.0,23.0,68043.33333333331,215405.9560439543,217057.15714285578,486680.3492063485,4223.0,3859.4285714285716,3727.5714285714284,4019.1428571428573,260.851170849075,464.1184719917473,465.8939333612918,697.6247911351405,-0.2982619960450367,-0.1005860117387623,0.1618039775176028,0.6007227472744219,-2.018189062988571,-1.2215650634943787,-1.0347214167889158,-0.14147055371739253
28,28,4664.0,4720.0,4549.0,4647.0,136580,2008-12-26,171.0,17.0,10.058823529411764,4403.0,3932.0,3779.0,3932.0,7.0,14.0,21.0,25.0,67617.61904761923,209675.14285714118,254689.0619047606,400328.3703703695,4329.428571428572,3967.714285714286,3758.5238095238096,3983.0,260.0338805763957,457.9029841103257,504.6672784169394,632.7150783491488,-0.6815945669844128,-0.1311421879605873,0.2494354153673934,0.3345489079051514,-0.4346037268845116,-1.1592037828651356,-1.0784994822776022,-0.5796677186066165
29,29,4764.0,4746.0,4562.0,4746.0,49470,2008-12-29,184.0,18.0,10.222222222222221,4489.0,4023.5,3779.0,3932.0,7.0,14.0,21.0,26.0,49130.00000000037,207836.1098901083,301227.69047618925,349496.7037037029,4450.0,4072.5714285714284,3803.2380952380954,3960.5,221.6528817768909,455.89045821349265,548.8421362069327,591.1824622768362,-0.4259624060524977,-0.19591101096131058,0.24498477287471224,0.0970930285880158,-0.029070011503658576,-0.9771591852321647,-1.21508265605917,-1.0022476132615217
30,30,4665.0,4892.0,4587.0,4892.0,89600,2008-12-30,305.0,-227.0,-1.3436123348017621,4500.0,4182.5,3902.0,3932.0,7.0,14.0,21.0,28.0,43980.57142857209,196609.05494505336,354966.66190476075,332115.96296296216,4565.285714285715,4187.857142857143,3863.809523809524,3952.5,209.71545348059615,443.4061963313699,595.7907870257485,576.2950311801778,0.3315664858273388,-0.06218914230199983,0.19205115854482885,-0.0034097361274511915,-0.6050427791521749,-1.0401946950999312,-1.283734096738907,-1.1821560560230802
31,31,4848.0,5136.0,4769.0,5136.0,214730,2008-12-31,367.0,-288.0,-1.2743055555555556,4647.0,4341.5,3902.0,3932.0,7.0,14.0,21.0,28.0,67255.61904762003,206398.06593406436,420211.65714285616,352855.4761904754,4687.571428571428,4309.285714285715,3944.4285714285716,3962.0714285714284,259.3368833151583,454.31053909640303,648.2373463036946,594.0163938734986,0.821070114315012,0.2052477740079558,0.16734303905301523,0.11425797017670168,-0.081856044361124,-0.8858368455430266,-1.158510426273847,-0.9736538394222687
32,32,5413.0,5393.0,5356.0,5393.0,92860,2009-01-02,37.0,20.0,1.85,4746.0,4446.0,3962.0,3932.0,7.0,14.0,21.0,28.0,124164.5714285728,241274.1318681305,492195.9619047611,411254.84126984054,4816.714285714285,4436.857142857143,4045.190476190476,3989.214285714286,352.36993547772033,491.1966325903818,701.5667907653277,641.2915415548848,0.6215271624989958,0.45745601951110026,0.18638662077947624,0.3514093307623569,-0.5286504167015984,-0.5898637658048406,-0.9220593840382141,-0.5954559260915823
33,33,5634.0,5613.0,5123.0,5160.0,129310,2009-01-05,490.0,474.0,1.0337552742616034,4892.0,4494.5,4085.0,3932.0,6.0,13.0,20.0,27.0,101634.80952381123,237730.57692307563,501423.85714285646,454750.2579365072,4924.857142857143,4535.5,4142.428571428572,4016.035714285714,318.8021479284781,487.57622678210595,708.1128844632447,674.3517316182314,0.15205283503616845,0.26243825220528666,0.06263708713936804,0.3727610183625873,-1.2146947943957536,-0.9888170754047158,-0.9953945480831929,-0.767065990770853
34,34,5193.0,5259.0,4978.0,5076.0,83890,2009-01-06,281.0,117.0,2.4017094017094016,5076.0,4573.5,4280.0,3932.0,4.0,11.0,18.0,25.0,67458.8095238115,228084.07142857014,467609.39999999944,494138.4060846553,5007.142857142857,4615.071428571428,4242.0,4047.464285714286,259.7283379298676,477.5814814548091,683.8197130823295,702.9497891632484,-0.03410168760678908,-0.02420049786487353,-0.008247843730072998,0.3206246433016872,-0.8201494381503025,-1.0404805237353874,-1.105088586455447,-1.0071760809139905
35,35,5278.0,5270.0,4903.0,4903.0,62310,2009-01-07,367.0,375.0,0.9786666666666667,5076.0,4696.5,4403.0,3932.0,3.0,10.0,17.0,24.0,46088.90476190685,189842.57142857014,420263.2476190472,520067.26322751254,5043.714285714285,4686.571428571428,4326.380952380952,4079.8214285714284,214.68326614318792,435.709273975859,648.2771379734497,721.1568922415653,0.2909866314272905,-0.1924946375769914,-0.10708683141653609,0.21849717522616716,-0.14532142524005637,-0.7391784121975948,-1.112208696656683,-1.205323526550867
36,36,4726.0,4903.0,4659.0,4903.0,145290,2009-01-08,244.0,-177.0,-1.3785310734463276,5076.0,4819.0,4489.0,4023.5,2.5,9.5,16.5,23.5,34029.80952381167,140590.07142857014,375645.3904761902,540818.7764550258,5066.142857142857,4758.071428571428,4403.761904761905,4118.964285714285,184.47170385674784,374.9534256792037,612.899168278266,735.4038186296192,0.8223151194911402,-0.138734185299451,-0.2250867278200017,0.09188922270748255,0.182012202300605,-0.7227158212558336,-1.0250349181613259,-1.3400303092771124
